#Note:; Temperature:25°C
#f[Hz] Re(Z/Zc) Im(Z/Zc)
20 3.72150096e-3 2.55765640e-2
20.5 3.75756974e-3 2.61854010e-2
21 3.79324208e-3 2.67939291e-2
21.5 3.82853257e-3 2.74021733e-2
22 3.86345505e-3 2.80101571e-2
22.5 3.89802264e-3 2.86179028e-2
23 3.93224780e-3 2.92254316e-2
23.5 3.96614236e-3 2.98327636e-2
24 3.99971756e-3 3.04399181e-2
24.5 4.03298407e-3 3.10469133e-2
25 4.06595207e-3 3.16537668e-2
25.5 4.09863121e-3 3.22604955e-2
26 4.13103071e-3 3.28671155e-2
26.5 4.16315934e-3 3.34736425e-2
27 4.19502549e-3 3.40800915e-2
27.5 4.22663713e-3 3.46864769e-2
28 4.25800191e-3 3.52928130e-2
28.5 4.28912714e-3 3.58991133e-2
29 4.32001980e-3 3.65053911e-2
29.5 4.35068660e-3 3.71116593e-2
30 4.38113395e-3 3.77179304e-2
30.5 4.41136802e-3 3.83242166e-2
31 4.44139472e-3 3.89305300e-2
31.5 4.47121973e-3 3.95368821e-2
32 4.50084854e-3 4.01432843e-2
32.5 4.53028641e-3 4.07497479e-2
33 4.55953840e-3 4.13562837e-2
33.5 4.58860940e-3 4.19629027e-2
34 4.61750415e-3 4.25696152e-2
34.5 4.64622719e-3 4.31764317e-2
35 4.67478293e-3 4.37833624e-2
35.5 4.70317561e-3 4.43904174e-2
36 4.73140936e-3 4.49976066e-2
36.5 4.75948817e-3 4.56049397e-2
37 4.78741590e-3 4.62124265e-2
37.5 4.81519628e-3 4.68200764e-2
38 4.84283296e-3 4.74278988e-2
38.5 4.87032945e-3 4.80359032e-2
39 4.89768917e-3 4.86440986e-2
39.5 4.92491545e-3 4.92524943e-2
40 4.95201152e-3 4.98610993e-2
40.5 4.97898053e-3 5.04699225e-2
41 5.00582552e-3 5.10789729e-2
41.5 5.03254948e-3 5.16882592e-2
42 5.05915530e-3 5.22977903e-2
42.5 5.08564581e-3 5.29075749e-2
43 5.11202377e-3 5.35176216e-2
43.5 5.13829187e-3 5.41279390e-2
44 5.16445272e-3 5.47385358e-2
44.5 5.19050889e-3 5.53494203e-2
45 5.21646287e-3 5.59606012e-2
45.5 5.24231712e-3 5.65720869e-2
46 5.26807401e-3 5.71838858e-2
46.5 5.29373589e-3 5.77960063e-2
47 5.31930503e-3 5.84084569e-2
47.5 5.34478369e-3 5.90212458e-2
48 5.37017404e-3 5.96343814e-2
48.5 5.39547823e-3 6.02478722e-2
49 5.42069837e-3 6.08617263e-2
49.5 5.44583651e-3 6.14759521e-2
50 5.47089468e-3 6.20905580e-2
50.5 5.49587486e-3 6.27055523e-2
51 5.52077899e-3 6.33209432e-2
51.5 5.54560898e-3 6.39367392e-2
52 5.57036672e-3 6.45529485e-2
52.5 5.59505405e-3 6.51695795e-2
53 5.61967277e-3 6.57866405e-2
53.5 5.64422467e-3 6.64041400e-2
54 5.66871150e-3 6.70220862e-2
54.5 5.69313499e-3 6.76404876e-2
55 5.71749683e-3 6.82593526e-2
55.5 5.74179869e-3 6.88786897e-2
56 5.76604223e-3 6.94985073e-2
56.5 5.79022906e-3 7.01188139e-2
57 5.81436079e-3 7.07396180e-2
57.5 5.83843898e-3 7.13609283e-2
58 5.86246520e-3 7.19827532e-2
58.5 5.88644099e-3 7.26051014e-2
59 5.91036785e-3 7.32279817e-2
59.5 5.93424729e-3 7.38514026e-2
60 5.95808078e-3 7.44753729e-2
60.5 5.98186979e-3 7.50999014e-2
61 6.00561575e-3 7.57249969e-2
61.5 6.02932011e-3 7.63506684e-2
62 6.05298427e-3 7.69769247e-2
62.5 6.07660963e-3 7.76037748e-2
63 6.10019758e-3 7.82312278e-2
63.5 6.12374948e-3 7.88592927e-2
64 6.14726670e-3 7.94879786e-2
64.5 6.17075059e-3 8.01172949e-2
65 6.19420248e-3 8.07472506e-2
65.5 6.21762369e-3 8.13778552e-2
66 6.24101553e-3 8.20091181e-2
66.5 6.26437933e-3 8.26410487e-2
67 6.28771635e-3 8.32736564e-2
67.5 6.31102790e-3 8.39069510e-2
68 6.33431526e-3 8.45409421e-2
68.5 6.35757968e-3 8.51756393e-2
69 6.38082244e-3 8.58110526e-2
69.5 6.40404478e-3 8.64471918e-2
70 6.42724797e-3 8.70840669e-2
70.5 6.45043324e-3 8.77216880e-2
71 6.47360182e-3 8.83600651e-2
71.5 6.49675497e-3 8.89992086e-2
72 6.51989389e-3 8.96391287e-2
72.5 6.54301983e-3 9.02798358e-2
73 6.56613399e-3 9.09213405e-2
73.5 6.58923760e-3 9.15636533e-2
74 6.61233188e-3 9.22067849e-2
74.5 6.63541803e-3 9.28507461e-2
75 6.65849727e-3 9.34955478e-2
75.5 6.68157080e-3 9.41412011e-2
76 6.70463984e-3 9.47877169e-2
76.5 6.72770559e-3 9.54351066e-2
77 6.75076927e-3 9.60833814e-2
77.5 6.77383207e-3 9.67325527e-2
78 6.79689521e-3 9.73826322e-2
78.5 6.81995989e-3 9.80336315e-2
79 6.84302734e-3 9.86855625e-2
79.5 6.86609875e-3 9.93384369e-2
80 6.88917535e-3 9.99922668e-2
80.5 6.91225835e-3 1.00647065e-1
81 6.93534898e-3 1.01302842e-1
81.5 6.95844845e-3 1.01959612e-1
82 6.98155800e-3 1.02617388e-1
82.5 7.00467885e-3 1.03276181e-1
83 7.02781224e-3 1.03936004e-1
83.5 7.05095943e-3 1.04596872e-1
84 7.07412164e-3 1.05258796e-1
84.5 7.09730014e-3 1.05921790e-1
85 7.12049618e-3 1.06585868e-1
85.5 7.14371103e-3 1.07251043e-1
86 7.16694596e-3 1.07917328e-1
86.5 7.19020226e-3 1.08584739e-1
87 7.21348121e-3 1.09253289e-1
87.5 7.23678412e-3 1.09922992e-1
88 7.26011227e-3 1.10593863e-1
88.5 7.28346700e-3 1.11265917e-1
89 7.30684963e-3 1.11939167e-1
89.5 7.33026149e-3 1.12613630e-1
90 7.35370393e-3 1.13289321e-1
90.5 7.37717830e-3 1.13966254e-1
91 7.40068598e-3 1.14644446e-1
91.5 7.42422835e-3 1.15323912e-1
92 7.44780680e-3 1.16004669e-1
92.5 7.47142274e-3 1.16686732e-1
93 7.49507758e-3 1.17370117e-1
93.5 7.51877277e-3 1.18054843e-1
94 7.54250976e-3 1.18740925e-1
94.5 7.56629001e-3 1.19428381e-1
95 7.59011499e-3 1.20117228e-1
95.5 7.61398622e-3 1.20807483e-1
96 7.63790519e-3 1.21499164e-1
96.5 7.66187346e-3 1.22192291e-1
97 7.68589256e-3 1.22886879e-1
97.5 7.70996406e-3 1.23582950e-1
98 7.73408955e-3 1.24280520e-1
98.5 7.75827065e-3 1.24979610e-1
99 7.78250898e-3 1.25680239e-1
99.5 7.80680619e-3 1.26382426e-1
100 7.83116395e-3 1.27086191e-1
100.5 7.85558396e-3 1.27791556e-1
101 7.88006795e-3 1.28498539e-1
101.5 7.90461764e-3 1.29207163e-1
102 7.92923481e-3 1.29917448e-1
102.5 7.95392126e-3 1.30629416e-1
103 7.97867880e-3 1.31343088e-1
103.5 8.00350928e-3 1.32058488e-1
104 8.02841457e-3 1.32775636e-1
104.5 8.05339659e-3 1.33494558e-1
105 8.07845727e-3 1.34215274e-1
105.5 8.10359857e-3 1.34937810e-1
106 8.12882249e-3 1.35662189e-1
106.5 8.15413106e-3 1.36388435e-1
107 8.17952634e-3 1.37116573e-1
107.5 8.20501043e-3 1.37846629e-1
108 8.23058546e-3 1.38578627e-1
108.5 8.25625362e-3 1.39312594e-1
109 8.28201709e-3 1.40048556e-1
109.5 8.30787814e-3 1.40786541e-1
110 8.33383905e-3 1.41526574e-1
110.5 8.35990214e-3 1.42268685e-1
111 8.38606980e-3 1.43012900e-1
111.5 8.41234442e-3 1.43759250e-1
112 8.43872848e-3 1.44507763e-1
112.5 8.46522449e-3 1.45258468e-1
113 8.49183498e-3 1.46011396e-1
113.5 8.51856258e-3 1.46766577e-1
114 8.54540993e-3 1.47524044e-1
114.5 8.57237973e-3 1.48283827e-1
115 8.59947476e-3 1.49045958e-1
115.5 8.62669782e-3 1.49810472e-1
116 8.65405178e-3 1.50577401e-1
116.5 8.68153959e-3 1.51346779e-1
117 8.70916422e-3 1.52118642e-1
